#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
767 1.35253 46 5.58645 434
768 1.69867 43 5.75451 97
769 1.08642 47 5.4697 439
770 1.44689 49 5.60022 457
771 1.69468 43 6.46109 457
772 1.28737 51 6.3996 452
773 1.31029 52 6.11632 97
774 1.64255 113 7.92784 119
775 1.43713 117 7.46304 106
776 1.4024 55 7.12519 108
777 1.29914 123 7.68091 120
778 1.59834 59 7.1326 120
779 1.94842 58 7.12654 122
780 1.8387 61 7.91797 124
781 1.92116 66 7.39933 119
782 1.67911 56 6.60908 111
783 1.83885 73 6.95244 113
784 1.35725 59 7.42995 486
785 1.00701 63 6.82725 472
786 0.86429 62 5.76745 491
787 1.17092 54 5.62686 458
788 0.966108 4 6.76541 451
789 1.43725 39 6.56566 449
790 0.960022 129 6.68328 450
791 1.07537 43 7.4503 458
792 1.49103 37 6.25499 476
793 1.27848 38 5.86269 346
794 1.27386 43 5.44399 456
795 1.51078 46 5.28117 315
796 1.43392 41 5.77628 448
797 1.52413 40 6.25997 322
798 1.4169 43 6.71646 326
799 1.75495 46 5.61168 332
800 2.49269 41 5.7573 439
801 2.07401 49 5.79574 439
802 1.88149 42 5.66727 443
803 1.99107 47 5.573 443
804 1.4814 53 5.3693 444
805 1.53401 57 5.30224 445
806 2.05056 56 5.07823 160
807 1.50737 54 5.38421 441
808 1.12225 57 5.3312 444
809 0.80105 60 5.40168 445
810 0.978434 55 4.94593 443
811 0.841006 57 5.27861 167
812 0.914443 56 5.67041 168
813 1.07045 47 4.96622 163
814 1.10055 55 5.34487 166
815 1.02342 43 5.38479 166
816 1.46813 52 6.39718 163
817 0.980453 48 6.56798 168
818 1.00829 51 5.26126 167
819 1.40877 59 5.29231 155
820 1.69577 39 5.40447 160
821 1.79933 47 5.20837 329
822 1.82344 39 5.13564 18
823 2.46249 40 4.7377 19
824 2.41947 43 4.53039 10
825 2.38751 46 4.85406 161
826 1.48573 43 4.99212 162
827 1.68821 37 4.64567 165
828 1.85833 44 4.87745 165
829 2.01689 40 5.15359 138
830 2.06141 39 4.78737 159
831 1.72253 41 5.39249 458
832 1.88695 51 4.99761 467
833 1.93444 53 4.76063 464
834 1.68936 52 5.35234 328
835 1.71406 49 4.84564 492
836 1.7199 57 4.7737 335
837 1.87281 49 5.01434 315
838 1.5432 52 4.66386 310
839 0.823683 53 4.78474 318
840 1.08595 51 4.84895 459
841 1.1449 52 4.9526 441
842 1.31716 52 4.77778 445
843 1.1168 52 4.95085 329
844 0.815468 47 4.32016 433
845 0.644337 44 4.44775 444
846 1.12775 47 4.71557 441
847 1.26197 48 4.0101 314
848 0.532308 52 4.53921 309
849 0.582824 268 5.09303 437
850 0.517507 56 5.98598 438
851 0.590608 54 5.06925 337
852 0.538964 45 4.86144 444
